Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Art,ART,ART 52B,PHILLIPS F,24,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,30
Art,ART,ART 60,THOMASON M M,14,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,24
Art,ARTS,ARTS 88A,DAVIS R L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Art,ARTS,ARTS 88B,DAVIS R L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Art,DESIGN,DESIGN 87O,BADGER C P,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6
Art,PHOTO,PHOTO 52,FIER B,10,23,19.0,14.0,16.0,0.0,0.0,0.0,1.0,0.0,12,95
Athletics and Kinesiology,VAR PE,VAR PE 9V,THOMAS J L,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
Athletics and Kinesiology,VAR PE,VAR PE 9W,STRONG L M,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14
Athletics and Kinesiology,VAR PE,VAR PE 11A,HANK M E,35,6,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,50
Athletics and Kinesiology,VAR PE,VAR PE 11A,MOSICH N W,33,11,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7,61
Athletics and Kinesiology,VAR PE,VAR PE 11B,HANK M E,33,6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,47
Athletics and Kinesiology,VAR PE,VAR PE 11B,MOSICH N W,12,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,24
Athletics and Kinesiology,VAR PE,VAR PE 14V,BARRON E A,10,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13
Athletics and Kinesiology,VAR PE,VAR PE 14W,BARRON E A,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8
Athletics and Kinesiology,VAR PE,VAR PE 21V,KEARIN J L,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,29
Athletics and Kinesiology,VAR PE,VAR PE 21V,LEDWITH K F,53,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,66
Athletics and Kinesiology,VAR PE,VAR PE 43V,PIERCE T L,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30
Athletics and Kinesiology,VAR PE,VAR PE 43W,BENDITSON A,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24
Athletics and Kinesiology,VAR PE,VAR PE 50V,ESKRIDGE B M,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19
Athletics and Kinesiology,VAR PE,VAR PE 50W,ROBERTS JR P E,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11
Athletics and Kinesiology,VAR PE,VAR PE 57W,DOUGLAS T B JR,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19
Athletics and Kinesiology,VAR PE,VAR PE 60,BENDITSON A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
Athletics and Kinesiology,VAR PE,VAR PE 60,LEDWITH K F,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Athletics and Kinesiology,VAR PE,VAR PE 60,METICHECCHIA J H,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8
Athletics and Kinesiology,VAR PE,VAR PE 60,PIERCE T L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
Athletics and Kinesiology,VAR PE,VAR PE 60,SHEELEY S L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Athletics and Kinesiology,VAR PE,VAR PE 60,SILVA L,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Athletics and Kinesiology,VAR PE,VAR PE 60,THOMAS J L,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8
Business,ACCTG,ACCTG 1,ANDRE J M,14,8,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14,46
