Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Athletics and Kinesiology,VAR PE,VAR PE 43,3240,BENDITSON A,32,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,33
Athletics and Kinesiology,VAR PE,VAR PE 50V,3241,ESKRIDGE B M,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Athletics and Kinesiology,VAR PE,VAR PE 50,3243,ESKRIDGE B M,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
Athletics and Kinesiology,VAR PE,VAR PE 57,3244,CAMMAYO C,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,22
Athletics and Kinesiology,VAR PE,VAR PE 60,3245,DRUCKMAN C J,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
Athletics and Kinesiology,VAR PE,VAR PE 60,3246,THOMAS J L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6
Athletics and Kinesiology,VAR PE,VAR PE 60,3247,LEDWITH K F,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Athletics and Kinesiology,VAR PE,VAR PE 60,3450,SILVA L,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Business,ACCTG,ACCTG 1,1001,PLATZ W A,11,8,5,3,7,0.0,0.0,0.0,0.0,0.0,7,41
Business,ACCTG,ACCTG 1,1002,KNIGHT R B,10,2,6,2,4,0.0,0.0,0.0,0.0,0.0,20,44
Business,ACCTG,ACCTG 1,1003,BROOKINS G T,10,3,4,3,11,1,0.0,0.0,0.0,1,11,44
Business,ACCTG,ACCTG 1,1004,KNIGHT R B,15,6,7,1,1,1,4,0.0,0.0,0.0,10,45
Business,ACCTG,ACCTG 1,1006,LOPEZ EN,27,5,2,1,3,0.0,0.0,1,0.0,0.0,4,43
Business,ACCTG,ACCTG 1,1007,LAMARRA F,11,12,6,1,6,0.0,0.0,0.0,0.0,0.0,4,40
Business,ACCTG,ACCTG 1,1009,LOPEZ EN,32,12,6,0.0,1,1,0.0,0.0,0.0,0.0,6,58
