Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Art,AHIS,AHIS 72,1106,MIHAYLOVICH K W,10.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,37
Art,ART,ART 10A,1146,BURCHMAN J H,16.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28
Art,ART,ART 10A,1147,ARUTIAN C L,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17
Art,ART,ART 10A,1148,WINSRYG M W,9.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22
Art,ART,ART 10A,1149,MITCHELL R,18.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,28
Art,ART,ART 10A,1150,KARLSEN A M,17.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24
Art,ART,ART 10A,1151,HARRISON A B,15.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,30
Art,ART,ART 10A,1152,ZARCONE J,5.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,23
Art,ART,ART 10A,1153,SCHMELTZ L A,20.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,29
Art,ART,ART 10A,1154,KARLSEN A M,9.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,25
Art,ART,ART 10A,1155,MIYANO E,16.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,28
Art,ART,ART 10A,1156,SCHMELTZ L A,4.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,21
Art,ART,ART 10A,4023,SHIBATA J M,11.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,26
Art,ART,ART 10A,4024,MITCHELL R,13.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,20
Art,ART,ART 10B,1157,SCHMELTZ L A,12.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26
Art,ART,ART 10B,1158,WINSRYG M W,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17
Art,ART,ART 10B,1159,DAVIS R L,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19
Art,ART,ART 10B,4026,MIYANO E,6.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,19
Art,ART,ART 10C,1160,LUNDQUIST T,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23
Art,ART,ART 10C,1161,OBIAMIWE O D,10.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17
Art,ART,ART 10C,4027,OBIAMIWE O D,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,17
Art,ART,ART 13,1162,HARTMAN D G,23.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33
Art,ART,ART 13,1163,HATTON C,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,24
Art,ART,ART 13,4028,SILVER E M,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24
Art,ART,ART 17A,1164,JOLLER G,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24
Art,ART,ART 20A,1165,HATTON C,16.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,31
Art,ART,ART 20A,1166,VICICH G M,9.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,26
Art,ART,ART 20A,1167,HATTON C,15.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,31
Art,ART,ART 20A,1168,MAMMARELLA C J,8.0,5.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,29
Art,ART,ART 20A,1169,HATTON C,14.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,31
Art,ART,ART 20A,1170,VICICH G M,17.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,28
Art,ART,ART 20A,1171,KOMPANEYETS M,14.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,26
Art,ART,ART 20A,1172,BURCHMAN J H,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23
