Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,W,EW,Total
Business,ACCTG,ACCTG 1,1001,KNIGHT R B,13.0,6.0,5.0,2.0,7.0,0.0,1.0,0.0,4.0,8.0,46
Business,ACCTG,ACCTG 1,1002,PLATZ W A,14.0,6.0,4.0,1.0,2.0,0.0,1.0,0.0,3.0,4.0,35
Business,ACCTG,ACCTG 1,1003,BROOKINS G T,7.0,8.0,4.0,4.0,2.0,0.0,2.0,0.0,10.0,6.0,43
Business,ACCTG,ACCTG 1,1004,KNIGHT R B,18.0,5.0,7.0,2.0,5.0,2.0,1.0,0.0,7.0,2.0,49
Business,ACCTG,ACCTG 1,1005,LOPEZ EN,23.0,8.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0,46
Business,ACCTG,ACCTG 1,1006,TRIPPETTI V J,13.0,13.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,9.0,44
Business,ACCTG,ACCTG 1,1007,LOPEZ EN,24.0,11.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,52
Business,ACCTG,ACCTG 1,1008,STEINBERGER E K,21.0,9.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,45
Business,ACCTG,ACCTG 1,1009,LOPEZ EN,21.0,7.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,6.0,46
Business,ACCTG,ACCTG 1,1010,ANDRE J M,10.0,14.0,5.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0,39
Business,ACCTG,ACCTG 1,1011,FITZGERALD R L,10.0,9.0,6.0,1.0,3.0,0.0,0.0,0.0,6.0,2.0,37
Business,ACCTG,ACCTG 1,1012,BROOKINS G T,17.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,8.0,4.0,38
Business,ACCTG,ACCTG 1,1013,FITZGERALD R L,10.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,28
Business,ACCTG,ACCTG 1,1014,LAMARRA F,20.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,46
Business,ACCTG,ACCTG 1,1015,HAIG J S,13.0,9.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,35
Business,ACCTG,ACCTG 1,1016,HAIG J S,7.0,9.0,3.0,0.0,3.0,1.0,0.0,0.0,6.0,6.0,35
Business,ACCTG,ACCTG 1,3418,HICKS L E,17.0,7.0,3.0,1.0,7.0,0.0,0.0,0.0,1.0,2.0,38
Business,ACCTG,ACCTG 2,1017,TRIPPETTI V J,11.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,30
