Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Cosmetology,COSM,COSM 10A,1593,HORN S L,21,3,0.0,1,2,0.0,0.0,0.0,0.0,2,0.0,29
Cosmetology,COSM,COSM 10B,1594,MANUEL S M,16,6,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,26
Cosmetology,COSM,COSM 10B,1595,HORN S L,10,9,1,5,2,0.0,0.0,0.0,0.0,0.0,0.0,27
Cosmetology,COSM,COSM 10B,1596,CEBALLOS B A,14,4,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,23
Cosmetology,COSM,COSM 10B,1597,CEBALLOS B A,11,5,1,3,2,0.0,0.0,0.0,0.0,2,0.0,24
Cosmetology,COSM,COSM 11A,1599,MOISAN A V,15,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,3,0.0,22
Cosmetology,COSM,COSM 11A,1601,MOISAN A V,11,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,9,0.0,22
Cosmetology,COSM,COSM 11B,1602,PERRET D M,10,3,1,0.0,2,0.0,0.0,0.0,0.0,3,0.0,19
Cosmetology,COSM,COSM 11B,1603,PERRET D M,6,3,1,0.0,1,0.0,0.0,0.0,0.0,2,0.0,13
Cosmetology,COSM,COSM 11C,1604,MANUEL S M,13,2,4,0.0,2,0.0,0.0,0.0,0.0,2,0.0,23
Cosmetology,COSM,COSM 11C,1605,MANUEL S M,6,2,1,0.0,3,0.0,0.0,0.0,0.0,9,0.0,21
Cosmetology,COSM,COSM 11D,1606,MOISAN A V,17,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,20
Cosmetology,COSM,COSM 11D,1607,MOISAN A V,10,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,5,0.0,16
Cosmetology,COSM,COSM 11E,1608,MYERS A M,14,4,1,3,3,0.0,0.0,0.0,0.0,1,0.0,26
Cosmetology,COSM,COSM 11E,1609,MYERS A M,5,2,0.0,0.0,2,0.0,0.0,0.0,0.0,8,0.0,17
Cosmetology,COSM,COSM 16,1610,NUNLEY R M,18,7,1,1,0.0,0.0,0.0,0.0,0.0,2,0.0,29
Cosmetology,COSM,COSM 16,1611,NUNLEY R M,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,25
Cosmetology,COSM,COSM 18,1612,LIM J Y,23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,27
Cosmetology,COSM,COSM 18,1613,LIM J Y,14,1,0.0,1,0.0,0.0,0.0,0.0,0.0,6,0.0,22
Cosmetology,COSM,COSM 18,4057,MANUEL S M,16,6,2,0.0,1,0.0,0.0,0.0,0.0,1,0.0,26
Cosmetology,COSM,COSM 18,4058,MANUEL S M,10,1,1,0.0,1,0.0,0.0,0.0,0.0,9,0.0,22
Cosmetology,COSM,COSM 20,1614,IJAMES S V,18,5,2,0.0,1,0.0,0.0,0.0,0.0,3,0.0,29
Cosmetology,COSM,COSM 20,1615,IJAMES S V,15,5,2,1,3,0.0,0.0,0.0,0.0,4,0.0,30
Cosmetology,COSM,COSM 20,1616,IJAMES S V,13,3,0.0,0.0,2,0.0,0.0,0.0,0.0,3,0.0,21
Cosmetology,COSM,COSM 21A,1617,HARRISON H L,11,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Cosmetology,COSM,COSM 21A,1618,HARRISON H L,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,13
Cosmetology,COSM,COSM 21B,1619,MANUEL S M,9,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Cosmetology,COSM,COSM 21B,1620,MANUEL S M,9,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,18
Cosmetology,COSM,COSM 21C,1621,PERRET D M,11,8,5,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,25
Cosmetology,COSM,COSM 21C,1622,PERRET D M,8,2,3,1,0.0,0.0,0.0,0.0,0.0,1,0.0,15
