Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
English,ENGL,ENGL 1,CARDENAS T P,13.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24
English,ENGL,ENGL 1,CONSTANTIN G N,17.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,26
English,ENGL,ENGL 1,CRAMER T R,23.0,10.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,55
English,ENGL,ENGL 1,DEL GEORGE D K,25.0,11.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,63
English,ENGL,ENGL 1,DEMPSEY A L,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
English,ENGL,ENGL 1,DOSSETT G H,6.0,16.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.0,63
English,ENGL,ENGL 1,DOUCET W J,25.0,21.0,7.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0,19.0,87
English,ENGL,ENGL 1,DRISCOLL L V,10.0,9.0,4.0,8.0,16.0,0.0,0.0,1.0,0.0,0.0,16.0,64
English,ENGL,ENGL 1,DURAN A,6.0,4.0,6.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,14.0,52
English,ENGL,ENGL 1,ENGELMANN D S,21.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,44
English,ENGL,ENGL 1,ESPINOSA A A,5.0,12.0,10.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,47
English,ENGL,ENGL 1,GARCIA M S,8.0,3.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,27
English,ENGL,ENGL 1,GARNICA A M,3.0,11.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,17.0,51
English,ENGL,ENGL 1,GONZALEZ S G,5.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,16
English,ENGL,ENGL 1,GRIFFY W J,23.0,11.0,9.0,7.0,11.0,0.0,3.0,0.0,2.0,0.0,22.0,88
English,ENGL,ENGL 1,HALL J E,10.0,8.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,35
English,ENGL,ENGL 1,HAVENNER J K,5.0,7.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,23
English,ENGL,ENGL 1,IRELAND S P,22.0,7.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,48
English,ENGL,ENGL 1,KARRON R,5.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,23
English,ENGL,ENGL 1,KAUFFMAN S R,45.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,57
